name,category,barcode,price,cost,stock,reorder_level,source
Pacific Storm,From Purchases,PACIFICST,0.5135802469135803,0.03333333333333333,1460.0,5,both
Branson Mint,From Purchases,BRANSONMI,0.7205555555555555,0.023333333333333334,820.0,5,both
Eggs,From Purchases,EGGS,1.5042857142857142,0.14,819.0,5,both
Airtime,From Purchases,AIRTIME,3.2403846153846154,0.92,674.0,5,both
Dandy,From Purchases,DANDY,0.2806896551724138,0.02,600.0,5,both
Bread,From Purchases,BREAD,1.8412698412698414,0.93,535.0,5,both
Branson Flame,From Purchases,BRANSONFL,0.41888888888888887,0.02,400.0,5,both
Everest,From Purchases,EVEREST,1.0338461538461539,0.06,400.0,5,both
Maputi,From Purchases,MAPUTI,0.9588235294117647,0.05,360.0,5,both
Gas,From Purchases,GAS,36.833333333333336,1.45,350.0,5,both
Breeze,From Purchases,BREEZE,0.45,0.04,330.0,5,both
Candles,From Purchases,CANDLES,0.3125,0.15,306.0,5,both
Toffee,From Purchases,TOFFEE,0.2892857142857143,0.015,300.0,5,both
Softcare pamper L,From Purchases,SOFTCAREP,1.82,0.1,308.0,5,both
Honey Pots Maheu,From Purchases,HONEYPOTS,0.5,0.04,200.0,5,both
Pacific Breeze,From Purchases,PACIFICBR,0.35625,0.03,200.0,5,both
Nappies Xl,From Purchases,NAPPIESXL,1.3975,0.1,200.0,5,both
Mints Sweets,From Purchases,MINTSSWEE,0.40789473684210525,0.01,465.0,5,both
Spaghetti,From Purchases,SPAGHETTI,0.9583333333333334,0.4266666666666667,152.0,5,both
Pop Sweets,From Purchases,POPSWEETS,0.42295081967213116,0.05,258.0,5,both
Wildcat,From Purchases,WILDCAT,0.6428571428571429,0.4166666666666667,140.0,5,both
Nappies Large,From Purchases,NAPPIESLA,0.6410344827586207,0.1,143.0,5,both
HB Pencil,From Purchases,HBPENCIL,0.0,0.05,100.0,5,purchases
Yoghurt,From Purchases,YOGHURT,0.9545454545454546,0.45,90.0,5,both
Kellogs Noodles,From Purchases,KELLOGSNO,2.475,0.25,80.0,5,both
Gas Rubber S,From Purchases,GASRUBBER,0.65,0.06,74.0,5,both
2 Ply Tissue,From Purchases,2PLYTISS,1.18,0.39,72.0,5,both
Zapnax,From Purchases,ZAPNAX,0.4318181818181818,0.225,72.0,5,both
